"Date","Status","Home","Score","","Away","Attd"
"16/12/2017","FT","Chelsea","1","0","Southampton","41,562"
"","","Alonso (45')","","","",""
"16/12/2017","FT","Leicester City","0","3","Crystal Palace","31,081"
"","","","","","Zaha (39'), Sako (90')",""
"16/12/2017","FT","Manchester City","4","1","Tottenham Hotspur","54,214"
"","","Gundogan (14'), De Bruyne (70'), Sterling (80', 90')","","","Eriksen (90')",""
"16/12/2017","FT","Stoke City","0","3","West Ham United","29,265"
"","","","","","Noble (19'), Arnautovic (75'), Sakho (86')",""
"16/12/2017","FT","Watford","1","4","Huddersfield Town","20,026"
"","","Doucoure (68')","","","Kachunga (6'), Mooy (23', 88' pen), Depoitre (51')",""
"17/12/2017","FT","AFC Bournemouth","0","4","Liverpool","10,780"
"","","","","","Coutinho (20'), Lovren (25'), Salah (44'), Firmino (65')",""
"17/12/2017","FT","West Bromwich Albion","1","2","Manchester United","24,782"
"","","Barry (75')","","","Lukaku (25'), Lingard (34')",""
"18/12/2017","FT","Everton","3","1","Swansea City","37,580"
"","","Calvert-Lewin (44'), Sigursson (64'), Rooney (73')","","","Fer (35')",""
"22/12/2017","FT","Arsenal","3","3","Liverpool","59,409"
"","","Sanchez (53'), Xhaka (56'), Ozil (58')","","","Coutinho (26'), Salah (52'), Firmino (70')",""
"23/12/2017","FT","Brighton & Hove Albion","1","0","Watford","30,473"
"","","Gro (64')","","","",""
"23/12/2017","FT","Burnley","0","3","Tottenham Hotspur","21,650"
"","","","","","Kane (7' pen, 69', 79')",""
"23/12/2017","FT","Everton","0","0","Chelsea","39,191"
"23/12/2017","FT","Leicester City","2","2","Manchester United","32,202"
"","","Vardy (26'), Maguire (90')","","","Mata (38', 61')",""
"23/12/2017","FT","Manchester City","4","0","AFC Bournemouth","54,270"
"","","Aguero (27', 79'), Sterling (53'), Danilo (85')","","","",""
"23/12/2017","FT","Southampton","1","1","Huddersfield Town","29,675"
"","","Austin (24')","","","Depoitre (64')",""
"23/12/2017","FT","Stoke City","3","1","West Bromwich Albion","29,057"
"","","Allen (20'), Maxim Choupo-Moting (45'), Sobhi (90')","","","Rondon (51')",""
"23/12/2017","FT","Swansea City","1","1","Crystal Palace","20,354"
"","","Ayew (77')","","","Cabaye (59' pen)",""
"23/12/2017","FT","West Ham United","2","3","Newcastle United","56,955"
"","","Arnautovic (6'), Ayew (69')","","","Saivet (11'), Diame (53'), Atsu (61')",""
"26/12/2017","FT","AFC Bournemouth","3","3","West Ham United","10,596"
"","","Gosling (28'), Ake (57'), Wilson (90')","","","Collins (5'), Arnautovic (79', 88')",""
"26/12/2017","FT","Chelsea","2","0","Brighton & Hove Albion","41,568"
"","","Morata (47'), Alonso (60')","","","",""
"26/12/2017","FT","Huddersfield Town","1","1","Stoke City","24,047"
"","","Ince (10')","","","Sobhi (60')",""
"26/12/2017","FT","Liverpool","5","0","Swansea City","52,850"
"","","Coutinho (6'), Firmino (52', 66'), Alexander-Arnold (65'), Oxlade-Chamberlain (82')","","","",""
"26/12/2017","FT","Manchester United","2","2","Burnley","75,046"
"","","Lingard (54', 89')","","","Barnes (3'), Defour (34')",""
"26/12/2017","FT","Tottenham Hotspur","5","2","Southampton","55,412"
"","","Kane (22', 38', 68'), Alli (49'), Son (51')","","","Boufal (64'), Tadic (80')",""
"26/12/2017","FT","Watford","2","1","Leicester City","20,308"
"","","Wague (45'), Doucoure (65')","","","Mahrez (37')",""
"26/12/2017","FT","West Bromwich Albion","0","0","Everton","25,364"
"27/12/2017","FT","Newcastle United","0","1","Manchester City","52,311"
"","","","","","Sterling (31')",""
"28/12/2017","FT","Crystal Palace","2","3","Arsenal","25,762"
"","","Townsend (50'), Tomkins (89')","","","Mustafi (25'), Sanchez (63', 66')",""
"30/12/2017","FT","AFC Bournemouth","2","1","Everton","10,497"
"","","Fraser (32', 88')","","","Gueye (57')",""
"30/12/2017","FT","Chelsea","5","0","Stoke City","41,433"
"","","Rudiger (3'), Drinkwater (9'), Pedro (23'), Willian (73'), Zappacosta (89')","","","",""
"30/12/2017","FT","Huddersfield Town","0","0","Burnley","24,095"
"30/12/2017","FT","Liverpool","2","1","Leicester City","53,226"
"","","Salah (51', 75')","","","Vardy (3')",""
"30/12/2017","FT","Manchester United","0","0","Southampton","75,051"
"30/12/2017","FT","Newcastle United","0","0","Brighton & Hove Albion","52,209"
"30/12/2017","FT","Watford","1","2","Swansea City","20,002"
"","","Carrillo (11')","","","Ayew (86'), Narsingh (90')",""
"31/12/2017","FT","Crystal Palace","0","0","Manchester City","25,804"
"31/12/2017","FT","West Bromwich Albion","1","1","Arsenal","26,223"
"","","Rodriguez (88' pen)","","","Sanchez (83')",""
