"Date","Status","Home","Score","","Away","Attd"
"14/4/2019","FT","Liverpool","2","0","Chelsea","53,279"
"","","Mane (51'), Salah (53')","","","",""
"15/4/2019","FT","Watford","0","1","Arsenal","20,480"
"","","","","","Aubameyang (9')",""
"16/4/2019","FT","Brighton & Hove Albion","0","2","Cardiff City","30,226"
"","","","","","Mendez-Laing (22'), Morrison (50')",""
"20/4/2019","FT","AFC Bournemouth","0","1","Fulham","10,511"
"","","","","","Mitrovic (53')",""
"20/4/2019","FT","Huddersfield Town","1","2","Watford","23,957"
"","","Ahearne-Grant (90')","","","Deulofeu (5', 81')",""
"20/4/2019","FT","Manchester City","1","0","Tottenham Hotspur","54,489"
"","","Foden (5')","","","",""
"20/4/2019","FT","Newcastle United","3","1","Southampton","52,191"
"","","Perez (27', 31', 86')","","","Lemina (59')",""
"20/4/2019","FT","West Ham United","2","2","Leicester City","59,960"
"","","Antonio (36'), Perez (80')","","","Vardy (65'), Barnes (90')",""
"20/4/2019","FT","Wolverhampton Wanderers","0","0","Brighton & Hove Albion","31,096"
"21/4/2019","FT","Arsenal","2","3","Crystal Palace","59,929"
"","","Ozil (47'), Aubameyang (76')","","","Benteke (17'), Zaha (61'), McArthur (68')",""
"21/4/2019","FT","Cardiff City","0","2","Liverpool","33,082"
"","","","","","Wijnaldum (56'), Milner (81' pen)",""
"21/4/2019","FT","Everton","4","0","Manchester United","39,395"
"","","Richarlison (13'), Sigursson (27'), Digne (56'), Walcott (64')","","","",""
"22/4/2019","FT","Chelsea","2","2","Burnley","40,642"
"","","Kante (12'), Higuain (14')","","","Hendrick (8'), Barnes (22')",""
"23/4/2019","FT","Tottenham Hotspur","1","0","Brighton & Hove Albion","56,251"
"","","Eriksen (88')","","","",""
"23/4/2019","FT","Watford","1","1","Southampton","19,170"
"","","Gray (89')","","","Long (1')",""
"24/4/2019","FT","Manchester United","0","2","Manchester City","74,431"
"","","","","","Silva (54'), Sane (66')",""
"24/4/2019","FT","Wolverhampton Wanderers","3","1","Arsenal","31,436"
"","","Neves (26'), Doherty (35'), Jota (45')","","","Papastathopoulos (79')",""
"26/4/2019","FT","Liverpool","5","0","Huddersfield Town","53,249"
"","","Keita (1'), Mane (23', 66'), Salah (44', 81')","","","",""
"27/4/2019","FT","Brighton & Hove Albion","1","1","Newcastle United","30,587"
"","","Gro (75')","","","Perez (18')",""
"27/4/2019","FT","Crystal Palace","0","0","Everton","25,789"
"27/4/2019","FT","Fulham","1","0","Cardiff City","23,822"
"","","Babel (77')","","","",""
"27/4/2019","FT","Southampton","3","3","AFC Bournemouth","31,310"
"","","Long (12'), Ward-Prowse (56'), Targett (67')","","","Gosling (20'), Wilson (30', 84')",""
"27/4/2019","FT","Tottenham Hotspur","0","1","West Ham United","60,043"
"","","","","","Antonio (66')",""
"27/4/2019","FT","Watford","1","2","Wolverhampton Wanderers","20,323"
"","","Gray (49')","","","Jimenez (40'), Jota (75')",""
"28/4/2019","FT","Burnley","0","1","Manchester City","21,605"
"","","","","","Aguero (62')",""
"28/4/2019","FT","Leicester City","3","0","Arsenal","32,037"
"","","Tielemans (59'), Vardy (85', 90')","","","",""
"28/4/2019","FT","Manchester United","1","1","Chelsea","74,526"
"","","Mata (11')","","","Alonso (43')",""
